affiliation,affiliation
alliance,alliance
alumni,alumni
associatedBand,band
associatedMusicalArtist,associatedMusicalArtist
athletics,athleticsAffiliation
authority,authority
bandMember,bandMember
battle,battleFoughtAt
broadcastArea,broadcastArea
broadcastNetwork,broadcastNetwork
campus,campusLocation
ceo,chiefExecutiveOfficer
chairman,chairman
chairperson,chairperson
chancellor,chancellor
childOrganisation,childOrganisation
city,city
clubsRecordGoalscorer,topScorer
coach,coach
commander,commander
commandStructure,commandStructure
country,country
county,county
currentMember,currentMember
dean,dean
denomination,denomination
destination,destination
director,director
distributingCompany,distributingCompany
distributingLabel,distributingLabel
division,division
europeanAffiliation,europeanAffiliation
formerBandMember,formerBandMember
formerBroadcastNetwork,formerBroadcastNetwork
foundationPlace,foundingLocation
foundedBy,foundingOrganization
foundedBy,founder
founder,founder
garrison,garrison
generalManager,generalManager
ground,ground
head,head
headquarter,headquarter
homeArena,homeArena
homeStadium,homeStadium
house,house
hubAirport,airlineHub
influencedBy,influencedBy
internationalAffiliation,internationalAffiliation
isPartOf,isPartOf
jurisdiction,jurisdiction
keyPerson,keyPeople
leader,leader
league,league
localAuthority,localAuthority
location,locatedAt
locationCity,city
locationCountry,country
manager,manager
mergedIntoParty,mergedIntoParty
militaryBranch,militaryBranch
nationalAffiliation,nationalAffiliation
nobelLaureates,nobelLaureates
notableCommander,notableCommander
operator,operator
owner,owner
owningCompany,owningCompany
parentCompany,parentCompany
parentOrganisation,parentOrganisation
pastMember,pastMember
patron,patron
politicalPartyInLegislature,politicalPartyInLegislature
politicalPartyOfLeader,politicalPartyOfLeader
position,position
predecessor,predecessor
president,president
product,makesProductFor
recordLabel,recordLabel
rector,rector
region,region
regionServed,regionServed
religion,religion
rival,rival
schoolPatron,schoolPatron
season,season
secondCommander,secondCommander
secretaryGeneral,secretaryGeneral
sisterCollege,sisterCollege
sisterStation,sisterStation
splitFromParty,splitFromParty
spokesperson,spokesperson
stadium,stadium
state,state
subsidiary,subsidiary
successor,successor
targetAirport,targetAirport
thirdCommander,thirdCommander
university,university
viceChancellor,viceChancellor
vicePresident,vicePresident
vicePrincipal,vicePrincipal
youthWing,youthWing
