academicAdvisor,academicAdvisor
agency,agency
almaMater,almaMater
appointer,appointedBy
associate,associate
associatedBand,band
associatedMusicalArtist,associatedMusicalArtist
award,awardedBy
award,awardedAt
battle,battleFoughtAt
battle,battleFaughtUnder
beatifiedBy,beatifiedBy
beatifiedPlace,beatifiedPlace
billed,billedFrom
birthPlace,placeOfBirth
board,boardMemberOf
bodyDiscovered,bodyDiscoveredPlcae
canonizedBy,canonizedBy
canonizedPlace,canonizedPlace
chancellor,inOfficeChancellor
child,child
choreographer,choreographer
citizenship,countryOfCitizenship
club,club
coach,coachOf
coachedTeam,coachedTeam
college,college
country,country
currentMember,currentMemberOf
currentPartner,currentPartner
deathPlace,placeOfDeath
debutTeam,debutTeam
deputy,deputy
doctoralAdvisor,doctoralAdvisor
doctoralStudent,doctoralStudent
draftTeam,draftTeam
education,educatedAt
employer,employer
formerChoreographer,formerChoreographer
formerCoach,formerCoachOf
formerHighschool,formerHighSchool
formerPartner,formerPartner
formerTeam,formerTeam
governor,inOfficeGovernor
governorGeneral,inOfficeGovernorGeneral
highschool,highSchool
hometown,hometown
honours,honouredAt
influenced,influenced
influencedBy,influencedBy
institution,institution
league,league
lieutenant,inOfficeLieutenant
location,location
majorShrine,majorShrine
managerClub,managerOfClub
militaryBranch,militaryBranch
militaryUnit,militaryUnit
mission,missionAt
monarch,inOfficeMonarch
nationality,nationality
nationalTeam,nationalTeam
notableStudent,notableStudent
opponent,opponent
otherParty,memberOfPoliticalParty
parent,parent
partner,partner
party,memberOfPoliticalParty
placeOfBurial,placeOfBurial
predecessor,predecessor
president,inOfficePresident
primeMinister,inOfficePrimeMinister
prospectLeague,prospectLeague
prospectTeam,prospectTeam
recordLabel,recordLabel
region,region
relation,relative
relative,relative
religion,religion
residence,residence
restingPlace,restingPlace
school,school
significantBuilding,significantBuilding
significantProject,significantProject
sportCountry,countryForSport
spouse,spouse
stateOfOrigin,stateOfOrigin
successor,successor
team,team
trainer,trainer
training,trainedAt
university,university
vicePresident,inOfficeVicePresident
vicePrimeMinister,inOfficeVicePrimeMinister
