affiliation,affiliation
airline alliance,airlineAlliance
airline hub,airlineHub
allegiance,allegiance
ancestral home,ancestralHome
applies to jurisdiction,appliesToJurisdiction
architect,architect
archives at,archivesAt
board member,boardMember
business division,businessDivision
captain,captain
cathedral,cathedral
chairperson,chairperson
chief executive officer,chiefExecutiveOfficer
commanded by,commander
country,country
country for sport,country
country of origin,countryOfOrigin
creator,creator
crew member,crewMember
designated as terrorist by,designatedAsTerroristBy
developer,developer
director,director
editor,editor
executive body,executiveBody
flag bearer,flagBearer
followed by,followedBy
follows,follows
founder,founder
general manager,generalManager
has part,hasPart
head coach,headCoach
headquarters location,headquartersLocation
home venue,homeVenue
influenced by,influencedBy
investor,investor
league,league
manager/director,manager/director
manufacturer,manufacturer
member of,memberOf
military branch,militaryBranch
musical conductor,musicalConductor
named after,namedAfter
officeholder,officeholder
operating area,operatingArea
operator,operator
owned by,owner
owner of,ownerOf
parent club,parentClub
parent organization,parentOrganization
participant,participant
partnership with,partnershipWith
part of,isPartOf
party chief representative,partyChiefRepresentative
patron saint,patronSaint
performer,performer
points classification,pointsClassification
publisher,publisher
record label,recordLabel
rector,rector
religion,religion
religious order,religiousOrder
replaced by,replacedBy
replaces,replaces
represents,represents
secretary general,secretaryGeneral
signatory,signatory
sponsor,sponsor
stock exchange,stockExchange
student,student
subsidiary,subsidiary
winner,winner
work location,workLocation
